permitnum,comment_n_rows,comment_max_cycle,comment_n_distinct_cycles,comment_n_review_types,comment_n_subjects,comment_has_structural,comment_has_eca,comment_has_fire,comment_has_design_review,comment_has_geotech,comment_avg_length,comment_repeated_correction_rate,comment_unresolved_rate,comment_partial_rate,comment_resubmit_rate,comment_tfidf_23,comment_tfidf_23_44,comment_tfidf_44,comment_tfidf_area,comment_tfidf_building,comment_tfidf_code,comment_tfidf_drainage,comment_tfidf_floor,comment_tfidf_new,comment_tfidf_note,comment_tfidf_permit,comment_tfidf_plan,comment_tfidf_plans,comment_tfidf_project,comment_tfidf_proposed,comment_tfidf_provide,comment_tfidf_required,comment_tfidf_review,comment_tfidf_seattle,comment_tfidf_shall,comment_tfidf_sheet,comment_tfidf_site,comment_tfidf_smc,comment_tfidf_smc_23,comment_tfidf_src,comment_tfidf_stormwater,comment_tfidf_tree,comment_tfidf_trees,comment_tfidf_update,comment_tfidf_wall
6524888-CN,86,8,7,5,39,1,1,0,0,1,509.54651162790697,0.0,0.0,0.011627906976744186,0.4186046511627907,0.16826196738990967,0.18433014977051598,0.17583840397410813,0.2061154196189803,0.15739047589275362,0.15517810126642725,0.23799394573937577,0.12546596685257927,0.17665091467805102,0.19277004062114575,0.20594946240634812,0.2228152025380625,0.11404567106558801,0.1937969146464565,0.0,0.2156050453201742,0.16632512232212182,0.26138017260605706,0.2083676692214676,0.1828115847247668,0.2088125112562874,0.20052793421340576,0.24303163696376623,0.17117221614596823,0.050658683883836216,0.23306033864975406,0.05570277664423366,0.0,0.176027247795208,0.2227664711235474
6587937-CN,56,4,4,9,19,1,1,0,0,1,456.4107142857143,0.0,0.0,0.0,0.42857142857142855,0.11682603233771197,0.0,0.1622882024700329,0.11099480704082569,0.25457903941097315,0.23156786104791277,0.1792964241183909,0.2097656579609122,0.0,0.22749501612254247,0.28377065912405386,0.22970335712182025,0.10958786627615406,0.1915733303292132,0.21619521673792175,0.24434698192796184,0.2458151014396203,0.29326906710096684,0.1980591359491896,0.17387242387514254,0.06527705240633727,0.1100546836526027,0.13430126151111857,0.07019274499786511,0.0686067539914256,0.16181621481128036,0.0,0.0,0.15957450955796315,0.3183222913325889
6637835-CN,22,7,4,3,7,0,0,0,0,0,333.1363636363636,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.1745426429336987,0.29798039156279393,0.266627407770126,0.0,0.09033920812941618,0.0,0.19319857747162897,0.2490212347320206,0.31000476306061825,0.27902244245063856,0.20595457344186588,0.0,0.2595596267678877,0.2361556497928762,0.24861745234951033,0.2738888004002548,0.0,0.2647860285227768,0.2302253825646779,0.0,0.0,0.2271303798915787,0.0,0.0,0.0,0.08484004510824189,0.2095527681721088
6697068-CN,14,2,2,4,12,0,1,0,0,1,292.57142857142856,0.0,0.0,0.0,0.35714285714285715,0.13182807627171844,0.0,0.0,0.26284708157126013,0.12331059705460352,0.0,0.2763739637553007,0.32463990752210825,0.0,0.20643162566645926,0.14371133566887326,0.20039157009141315,0.3226842187733786,0.0,0.2117628511054275,0.3644657314066833,0.0,0.22706486427471165,0.0,0.0,0.2976100203387766,0.21026719866452334,0.25659198770852715,0.0,0.0,0.0,0.0,0.0,0.12776223553315993,0.2545994809440763
6697072-CN,7,2,1,3,7,0,1,0,0,1,241.42857142857142,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.20929909957140694,0.0,0.0,0.46184212148564296,0.22733918732964883,0.0,0.0,0.2401526802488999,0.19777944255213076,0.20664607964149467,0.0,0.20900249758897413,0.4150623685858301,0.0,0.22410504722799243,0.0,0.23263020567182885,0.0,0.43551732976488156,0.2043183118625287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6697073-CN,17,4,3,3,15,0,1,0,0,1,339.11764705882354,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.2499074293133538,0.0,0.0,0.23109009527038635,0.0,0.10502366402105587,0.0,0.2521781426788821,0.37334333515510026,0.2886642228483683,0.2593326848750539,0.0,0.20768309739940732,0.10094031587109027,0.3453117798633919,0.16755741530272422,0.0,0.3334117351542908,0.24779071930275162,0.3148234312463119,0.0,0.0,0.0,0.1205138655476385,0.0,0.18087619710625444,0.0
6697076-CN,21,3,3,4,17,0,1,0,0,1,377.8095238095238,0.0,0.0,0.0,0.19047619047619047,0.1903413326011878,0.22362768659544255,0.23327375553266727,0.24229545432247343,0.0746107793581556,0.0,0.16722388280185377,0.1393714372534441,0.12867638427640374,0.12490430541282146,0.18248384088976813,0.2552932175939521,0.2392241813425084,0.1509244047035995,0.0,0.2109625706522044,0.17430331465008445,0.2390429270569385,0.12124968638911171,0.2351521025692583,0.18007305205439916,0.0,0.23652943706163607,0.08114399793679863,0.18925835538465519,0.0,0.36435775678279253,0.25140704550100557,0.0,0.0909837804383589
6697079-CN,18,3,2,3,13,0,1,0,0,1,286.8333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.22628278002998015,0.0,0.0,0.33533182830307456,0.0,0.10813127095726213,0.10496146101922386,0.25963998999351584,0.32576635262572623,0.29720567823863475,0.17324836394598148,0.10767215619148922,0.213828354661445,0.10392709821836167,0.35552941312023645,0.17251537016805005,0.0,0.2801682057511526,0.1069116822821866,0.3241389268323843,0.0,0.0,0.0,0.2603954374688758,0.0,0.18622824923623266,0.0
6697083-CN,24,4,3,3,15,0,1,0,0,1,528.875,0.0,0.0,0.0,0.125,0.13571662932975367,0.0,0.0,0.21260789333099372,0.19564907865896017,0.19289891823893474,0.16804576257348117,0.0,0.1602749357583648,0.22828844170509233,0.14795041105853224,0.25654794465720754,0.30043987897459795,0.12236331505182509,0.15959442410860297,0.24452606783104033,0.12428124791412391,0.31257098072822787,0.2119994193755115,0.14331605426225774,0.24245275081735723,0.1278503635568739,0.2756683604129669,0.13806397589778782,0.0,0.0,0.0,0.21594975917704953,0.23922408657718247,0.1548060582289174
6697085-CN,21,5,4,3,19,0,1,0,0,1,320.5238095238095,0.0,0.0,0.0,0.047619047619047616,0.15871121736369032,0.11012993341064391,0.10505645302632916,0.23239293033628877,0.0,0.0,0.24357887682538804,0.0,0.08931161810651962,0.14678484857962115,0.173017779505154,0.3000150888640697,0.2590330930811837,0.14309543928729382,0.08893240974001498,0.2591562558511749,0.22399195457316953,0.30488310921021894,0.23494582426381627,0.0,0.24757485245289199,0.23042456771742806,0.3223750935008129,0.1614562769280712,0.0,0.0,0.10248441088641932,0.2220933109438532,0.15381624694863658,0.0
