DETL_NAMES,COUNCIL_DIST_24,COMP_PLAN_NAME
"High Point, Delridge",1,Outside Villages
"High Point, Delridge",1,Outside Villages
"High Point, Delridge",1,Outside Villages
"High Point, Delridge",1,Outside Villages
"High Point, Delridge",1,Outside Villages
"Broadview, Bitter Lake",5,Outside Villages
"High Point, Delridge",1,Outside Villages
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,Outside Villages
Georgetown,1,Greater Duwamish
"North Beacon Hill, Jefferson Park",2,Columbia City
"North Beacon Hill, Jefferson Park",2,Columbia City
"North Beacon Hill, Jefferson Park",2,Columbia City
"North Beacon Hill, Jefferson Park",2,Columbia City
"North Beacon Hill, Jefferson Park",2,Columbia City
"North Beacon Hill, Jefferson Park",2,Columbia City
"North Beacon Hill, Jefferson Park",2,Outside Villages
"North Beacon Hill, Jefferson Park",2,Outside Villages
"Seward Park, Hillman City",2,Outside Villages
"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,Outside Villages
"Duwamish, SODO, Pioneer Square",2,North Beacon Hill
"Seward Park, Hillman City",2,Outside Villages
"North Beacon Hill, Jefferson Park",2,Columbia City
"High Point, Delridge",1,Outside Villages
"High Point, Delridge",1,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,Outside Villages
"South Beacon Hill, NewHolly, Holly Park",2,Othello
"High Point, Delridge",1,Outside Villages
Licton Springs,5,Northgate
"South Beacon Hill, NewHolly, Holly Park",2,Outside Villages
"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,Lake City
"Green Lake, Meridian, Roosevelt, Woodland Park",6,Green Lake
"Maple Leaf, Northgate, Pinehurst",5,Northgate
"Magnolia, Discovery Park, Briarcliff, Lawton Park",6,Outside Villages
"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,Ballard
"Magnolia, Discovery Park, Briarcliff, Lawton Park",6,Outside Villages
"Magnolia, Discovery Park, Briarcliff, Lawton Park",6,Outside Villages
"Madrona, Leschi, Harrison/Denny-Blaine",3,23rd & Union-Jackson
"Highland Park, Westwood, White Center, South Delridge",1,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"South Beacon Hill, NewHolly, Holly Park",2,Greater Duwamish
"South Beacon Hill, NewHolly, Holly Park",1,Greater Duwamish
"Alki, Admiral",1,Outside Villages
"South Beacon Hill, NewHolly, Holly Park",2,Outside Villages
"Seward Park, Hillman City",2,Outside Villages
"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",4,Roosevelt
"Haller Lake, Pinehurst",5,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Haller Lake, Pinehurst",5,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",4,Roosevelt
"Green Lake, Meridian, Roosevelt, Woodland Park",6,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",6,Outside Villages
"Wallingford, Meridian, Northlake, University District",6,Outside Villages
"Wallingford, Meridian, Northlake, University District",6,Outside Villages
"Wallingford, Meridian, Northlake, University District",6,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",4,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",4,Roosevelt
"University District, Cowen Park, Ravenna",4,Outside Villages
"University District, Cowen Park, Ravenna",4,Outside Villages
"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,Outside Villages
"Duwamish, SODO, Pioneer Square",1,Greater Duwamish
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Outside Villages
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Outside Villages
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Outside Villages
"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Outside Villages
"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Outside Villages
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Rainier Beach
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Outside Villages
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Morgan Junction
"Seward Park, Hillman City",2,Outside Villages
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Rainier Beach
"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Outside Villages
Interbay,7,Outside Villages
"Duwamish, SODO, Pioneer Square",1,Greater Duwamish
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"South Beacon Hill, NewHolly, Holly Park",2,Othello
"Central Area, Mann, Minor, Squire Park",3,23rd & Union-Jackson
"Wedgwood, View Ridge, Bryant, Matthews Beach",5,Outside Villages
"Central Area, Mann, Minor, Squire Park",3,Outside Villages
"Central Area, Mann, Minor, Squire Park",3,23rd & Union-Jackson
"Central Area, Mann, Minor, Squire Park",3,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Greenwood-Phinney Ridge
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Green Lake, Meridian, Roosevelt, Woodland Park",6,Outside Villages
"North Capitol Hill, Capitol Hill, North Broadway",3,Outside Villages
"Mt. Baker, North Rainier, Atlantic",2,Outside Villages
South Park,1,Outside Villages
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,Columbia City
"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,Outside Villages
"Mt. Baker, North Rainier, Atlantic",2,Outside Villages
"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Greenwood-Phinney Ridge
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,Eastlake
"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,Outside Villages
"North Beacon Hill, Jefferson Park",2,North Beacon Hill
"North Beacon Hill, Jefferson Park",2,Mt Baker
Licton Springs,5,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,Outside Villages
Licton Springs,5,Aurora-Licton Springs
Licton Springs,5,Aurora-Licton Springs
Licton Springs,5,Outside Villages
"Maple Leaf, Northgate, Pinehurst",5,Outside Villages
"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,Outside Villages
"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,Outside Villages
"Maple Leaf, Northgate, Pinehurst",5,Outside Villages
"Maple Leaf, Northgate, Pinehurst",5,Outside Villages
"North Beacon Hill, Jefferson Park",2,North Beacon Hill
"North Beacon Hill, Jefferson Park",2,North Beacon Hill
"North Beacon Hill, Jefferson Park",2,North Beacon Hill
"Mt. Baker, North Rainier, Atlantic",2,Mt Baker
"Mt. Baker, North Rainier, Atlantic",2,Mt Baker
Licton Springs,5,Outside Villages
"North Beacon Hill, Jefferson Park",2,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,Outside Villages
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"Maple Leaf, Northgate, Pinehurst",5,Northgate
"First Hill, Yesler Terrace, Squire Park",7,First Hill/Capitol Hill
"Capitol Hill, Pike/Pine, Broadway, First Hill",3,First Hill/Capitol Hill
"First Hill, Yesler Terrace, Squire Park",3,First Hill/Capitol Hill
"First Hill, Yesler Terrace, Squire Park",7,First Hill/Capitol Hill
"First Hill, Yesler Terrace, Squire Park",3,First Hill/Capitol Hill
"First Hill, Yesler Terrace, Squire Park",3,First Hill/Capitol Hill
"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",3,Outside Villages
"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",3,Outside Villages
"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",3,Outside Villages
"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4,Outside Villages
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4,Outside Villages
"Riverview, Delridge",1,Greater Duwamish
"Riverview, Delridge",1,Greater Duwamish
"Magnolia, Discovery Park, Briarcliff, Lawton Park",6,Outside Villages
"Madrona, Leschi, Harrison/Denny-Blaine",3,Outside Villages
"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",1,Greater Duwamish
"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,Rainier Beach
"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",3,Outside Villages
"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4,Outside Villages
"Madrona, Leschi, Harrison/Denny-Blaine",3,Outside Villages
"North Beacon Hill, Jefferson Park",2,Columbia City
"South Lake Union, Eastlake, Cascade, Denny Triangle",7,Uptown
"South Lake Union, Eastlake, Cascade, Denny Triangle",7,Downtown
"Central Area, Mann, Minor, Squire Park",3,Outside Villages
"Central Area, Mann, Minor, Squire Park",3,Outside Villages
"Central Area, Mann, Minor, Squire Park",3,Madison-Miller
"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,Outside Villages
"Madison-Miller, Miller Park, Capitol Hill, Stevens",3,Outside Villages
"Central Area, Mann, Minor, Squire Park",3,Outside Villages
"Central Area, Mann, Minor, Squire Park",3,Outside Villages
"Madrona, Leschi, Harrison/Denny-Blaine",3,Outside Villages
"Judkins Park, Central Area, Little Saigon, Atlantic",3,23rd & Union-Jackson
"Madrona, Leschi, Harrison/Denny-Blaine",3,23rd & Union-Jackson
"Madrona, Leschi, Harrison/Denny-Blaine",3,23rd & Union-Jackson
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,South Lake Union
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Uptown
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Uptown
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Outside Villages
"Belltown, Denny Regrade",7,Downtown
"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,Uptown
